Mesto,Priimek,Ime,Drzava,Skok_1,Skok_2
1,PREVC, Peter,SLO,238.0,241.5
2,KRANJEC, Robert,SLO,234.0,233.0
3,FORFANG, Johann Andre,NOR,226.0,245.0
4,KASAI, Noriaki,JPN,227.0,231.5
5,GANGNES, Kenneth,NOR,216.0,239.0
6,HAYBOECK, Michael,AUT,219.0,235.5
7,FREUND, Severin,GER,227.0,225.0
8,AMMANN, Simon,SUI,224.5,238.5
9,FANNEMEL, Anders,NOR,222.0,230.0
10,KRAFT, Stefan,AUT,217.0,222.0
11,FREITAG, Richard,GER,221.0,227.0
12,TANDE, Daniel Andre,NOR,215.0,233.5
13,TEPEŠ, Jurij,SLO,221.0,223.5
14,ITO ,Daiki,JPN,209.5,229.0
15,KOT, Maciej,POL,231.0,222.0
16,STJERNEN, Andreas,NOR,219.0,216.5
17,TAKEUCHI, Taku,JPN,217.0,215.0
18,KOUDELKA, Roman,CZE,213.0,216.0
19,FETTNER, Manuel,AUT,212.0,216.0
20,DESCOMBES SEVOIE, Vincent,FRA,217.5,212.5
21,STOCH ,Kamil,POL,206.0,210.0
22,POPPINGER, Manuel,AUT,198.5,218.0
23,KUBACKI, Dawid,POL,216.5,205.0
24,GEIGER, Karl,GER,219.0,206.5
25,HULA, Stefan,POL,202.0,216.0
26,LEYHE, Stephan,GER,210.5,200.0
27,MATURA, Jan,CZE,199.5,203.5
28,HAUER ,Joachim,NOR,198.0,201.0
29,LANIŠEK, Anže,SLO,208.5,198.5
30,WANK, Andreas,GER,198.0,206.0
